"Slot";"Zeile";"Spalte";"Funktion";"Bedienung";"Kontext";"Belegung";"Teststatus"
"0";"1";"1";"LANDE-/STARTERLAUBNIS";"ANFORDERN";"FLIGHT / START & LANDUNG | MINING / ANFLUG & SUCHE | SALVAGE / ANFLUG & SCHIFF | CARGO / ANFLUG & LIEFERUNG | SHIP UTILITY / ZUGANG & KOMMUNIKATION";"Linkes Alt + N (WP-010)";"Historisch bestaetigt; 0.8.0 Regression offen"
"1";"1";"2";"SCM ANFORDERN";"ANFORDERN";"MINING / BERGBAU | SALVAGE / BERGUNG";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"2";"1";"3";"FAHRWERK";"UMSCHALTEN";"FLIGHT / START & LANDUNG | COMBAT / FLUGLAGE | MINING / ANFLUG & SUCHE | SALVAGE / ANFLUG & SCHIFF | CARGO / ANFLUG & LIEFERUNG | SHIP UTILITY / ANTRIEB & FAHRWERK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"3";"1";"4";"SCHIFFSLICHT";"UMSCHALTEN";"FLIGHT / SCHIFFSSYSTEME | COMBAT / FLUGLAGE | SALVAGE / ANFLUG & SCHIFF | CARGO / ANFLUG & LIEFERUNG | SHIP UTILITY / ZUGANG & KOMMUNIKATION";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"4";"1";"5";"FLIGHT READY";"AKTIVIEREN";"FLIGHT / START & LANDUNG | CARGO / HULL & SCHIFF | SHIP UTILITY / ANTRIEB & FAHRWERK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"5";"1";"6";"VTOL";"UMSCHALTEN";"FLIGHT / START & LANDUNG | SHIP UTILITY / ANTRIEB & FAHRWERK";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"6";"1";"7";"CRUISE CONTROL";"UMSCHALTEN";"FLIGHT / FLUGSTEUERUNG | SHIP UTILITY / FLUGASSISTENZ";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"7";"1";"8";"COUPLED / DECOUPLED";"UMSCHALTEN";"FLIGHT / FLUGSTEUERUNG | COMBAT / FLUGLAGE | SALVAGE / ANFLUG & SCHIFF | SHIP UTILITY / FLUGASSISTENZ";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"8";"2";"1";"SPEED LIMITER";"UMSCHALTEN";"FLIGHT / FLUGSTEUERUNG | SHIP UTILITY / FLUGASSISTENZ";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
"9";"2";"2";"ESP";"UMSCHALTEN";"FLIGHT / FLUGSTEUERUNG | COMBAT / FLUGLAGE | SHIP UTILITY / FLUGASSISTENZ";"In SC 4.10.1 und Stream Deck passend zuweisen";"Offen"
